date,city_id,province,country,latitude,longitude,temperature_max,temperature_min,temperature_mean,rain_sum,humidity_mean,wind_speed_max,aqi,cloud_cover_mean
2026-04-24,122,Lâm Đồng,Viet Nam,11.9404,108.4419,25.3,15.7,20.1,2.3,80,10.1,63,89
2026-04-24,146,Tiền Giang,Viet Nam,10.3606,106.3636,34.0,25.3,28.7,0.0,70,14.3,62,74
2026-04-24,981,Quảng Bình,Viet Nam,17.4731,106.5962,26.7,23.8,25.0,10.4,92,10.5,55,100
2026-04-24,767,Kiên Giang,Viet Nam,10.0122,105.0809,34.9,23.7,29.1,0.0,66,12.9,68,86
2026-04-24,684,Khánh Hòa,Viet Nam,12.2467,109.1833,32.7,25.5,29.0,1.2,71,18.6,45,90
2026-04-24,326,Thừa Thiên Huế,Viet Nam,16.4633,107.5847,30.5,24.2,26.2,1.9,85,17.0,77,100
2026-04-24,547,Sóc Trăng,Viet Nam,9.6019,105.9731,34.3,24.9,28.9,0.0,67,14.1,66,75
2026-04-24,645,Hà Tĩnh,Viet Nam,18.3421,105.9038,26.5,23.6,24.6,17.0,92,9.8,55,99
2026-04-24,587,Trà Vinh,Viet Nam,9.9342,106.3339,34.2,25.0,28.8,0.0,68,13.9,57,74
2026-04-24,208,Ninh Thuận,Viet Nam,11.5647,108.9892,33.2,25.7,29.5,1.8,71,18.9,40,95
2026-04-24,365,Cà Mau,Viet Nam,9.1769,105.1501,34.7,25.1,29.6,0.0,65,18.2,33,79
2026-04-24,669,Hưng Yên,Viet Nam,20.6465,106.0511,27.1,22.5,24.3,0.4,83,9.8,114,64
2026-04-24,861,Lạng Sơn,Viet Nam,21.8519,106.7614,26.2,18.0,22.5,0.0,72,15.2,46,60
2026-04-24,496,Bạc Liêu,Viet Nam,9.2941,105.7242,32.8,25.2,28.9,0.0,68,14.1,33,70
2026-04-24,521,TP. Hồ Chí Minh,Viet Nam,10.8231,106.6297,36.2,27.0,30.3,0.0,62,14.2,49,80
2026-04-24,813,Đồng Tháp,Viet Nam,10.4552,105.6323,33.5,23.9,28.5,0.0,70,10.9,82,83
2026-04-24,503,Sơn La,Viet Nam,21.3262,103.9149,28.0,20.2,23.2,0.0,77,23.2,60,37
2026-04-24,701,Hà Nội,Viet Nam,21.0285,105.8542,27.9,22.1,24.7,0.7,81,9.9,103,77
2026-04-24,193,Bắc Kạn,Viet Nam,22.147,105.8326,27.3,20.1,23.9,0.0,77,12.7,49,72
2026-04-24,132,Đắk Nông,Viet Nam,12.0,107.7,32.5,20.3,25.5,3.1,78,14.4,51,88
2026-04-24,734,Yên Bái,Viet Nam,21.7051,104.8751,27.1,22.0,24.5,0.2,80,9.8,74,71
2026-04-24,249,Phú Yên,Viet Nam,13.0883,109.3045,33.9,24.2,29.0,1.3,72,18.3,58,92
2026-04-24,275,Tuyên Quang,Viet Nam,21.8159,105.2132,27.9,22.4,24.8,0.0,76,10.7,69,83
2026-04-24,910,Cao Bằng,Viet Nam,22.6661,106.2635,27.0,19.4,23.8,0.0,72,8.6,40,67
2026-04-24,123,Quảng Trị,Viet Nam,16.75,107.1833,28.8,23.7,25.7,4.9,89,14.5,68,100
2026-04-24,951,Bình Dương,Viet Nam,11.0531,106.6661,34.9,26.0,29.5,0.0,67,17.9,48,86
2026-04-24,797,Gia Lai,Viet Nam,13.9833,108.0,31.8,21.0,25.5,1.2,73,17.2,76,86
2026-04-24,811,Điện Biên,Viet Nam,21.3833,103.0167,30.8,20.9,25.5,0.4,76,9.1,72,44
2026-04-24,696,Hà Nam,Viet Nam,20.5463,105.9142,26.6,21.6,23.7,1.6,85,10.0,106,69
2026-04-24,784,Bình Thuận,Viet Nam,10.9333,108.1,32.2,27.0,29.4,0.2,68,17.6,34,89
