date,city_id,province,country,latitude,longitude,temperature_max,temperature_min,temperature_mean,rain_sum,humidity_mean,wind_speed_max,aqi,cloud_cover_mean
2026-07-13,813,Đồng Tháp,Viet Nam,10.4552,105.6323,29.4,24.1,26.2,14.3,90,25.5,43,98
2026-07-13,278,Đồng Nai,Viet Nam,10.9575,106.8427,30.9,25.2,27.1,17.2,86,20.2,64,95
2026-07-13,811,Điện Biên,Viet Nam,21.3833,103.0167,32.4,23.5,27.3,7.1,86,4.4,31,66
2026-07-13,132,Đắk Nông,Viet Nam,12.0,107.7,25.9,21.3,22.5,15.5,94,22.5,20,97
2026-07-13,784,Bình Thuận,Viet Nam,10.9333,108.1,30.8,25.1,27.0,10.2,87,27.5,34,92
2026-07-13,275,Tuyên Quang,Viet Nam,21.8159,105.2132,33.7,26.1,29.6,1.4,81,12.1,63,55
2026-07-13,196,Đắk Lắk,Viet Nam,12.6667,108.05,29.8,22.6,25.2,4.9,84,19.6,20,91
2026-07-13,590,Đà Nẵng,Viet Nam,16.0471,108.2068,35.3,27.3,30.1,1.0,71,17.5,46,90
2026-07-13,910,Cao Bằng,Viet Nam,22.6661,106.2635,35.0,25.8,30.3,0.7,77,8.3,41,45
2026-07-13,620,Cần Thơ,Viet Nam,10.0451,105.7462,28.9,24.8,26.0,25.3,92,20.8,44,97
2026-07-13,365,Cà Mau,Viet Nam,9.1769,105.1501,28.4,25.5,26.1,24.8,93,18.7,32,99
2026-07-13,587,Trà Vinh,Viet Nam,9.9342,106.3339,29.5,25.0,26.3,9.5,92,26.1,60,92
2026-07-13,521,TP. Hồ Chí Minh,Viet Nam,10.8231,106.6297,31.5,25.0,27.0,14.6,85,16.3,64,97
2026-07-13,146,Tiền Giang,Viet Nam,10.3606,106.3636,29.7,24.9,26.6,9.4,89,19.7,60,93
2026-07-13,849,Bắc Giang,Viet Nam,21.2731,106.1946,34.2,27.0,30.1,1.4,80,12.2,94,45
2026-07-13,201,Trường Sa,Viet Nam,10.66936,115.833324,30.3,29.6,29.9,0.9,74,38.2,31,96
2026-07-13,326,Thừa Thiên Huế,Viet Nam,16.4633,107.5847,34.4,26.8,29.4,6.3,81,14.1,30,86
2026-07-13,454,Thanh Hóa,Viet Nam,19.8075,105.7764,33.0,26.2,29.3,0.9,82,10.9,62,68
2026-07-13,110,Thái Nguyên,Viet Nam,21.5939,105.8481,33.9,26.8,30.2,1.4,81,14.2,94,40
2026-07-13,872,Thái Bình,Viet Nam,20.4463,106.3364,32.5,27.5,29.6,8.4,81,8.7,80,68
2026-07-13,915,Tây Ninh,Viet Nam,11.3125,106.1006,31.1,25.2,27.4,5.0,82,22.9,32,91
2026-07-13,193,Bắc Kạn,Viet Nam,22.147,105.8326,33.5,25.5,29.2,2.5,86,7.5,69,52
2026-07-13,288,Hoàng Sa,Viet Nam,16.641233,112.742024,30.4,27.6,28.8,19.6,81,38.6,30,100
2026-07-13,503,Sơn La,Viet Nam,21.3262,103.9149,30.2,22.8,26.5,2.4,83,9.7,41,45
2026-07-13,547,Sóc Trăng,Viet Nam,9.6019,105.9731,28.6,25.0,26.2,15.8,92,19.5,54,97
2026-07-13,123,Quảng Trị,Viet Nam,16.75,107.1833,33.2,26.4,29.3,0.8,72,22.8,22,84
2026-07-13,688,Quảng Ninh,Viet Nam,20.95,107.0833,33.1,27.3,30.2,0.3,76,12.8,37,61
2026-07-13,164,Quảng Ngãi,Viet Nam,15.1205,108.7925,38.1,27.5,31.0,4.1,71,18.2,40,94
2026-07-13,496,Bạc Liêu,Viet Nam,9.2941,105.7242,27.6,25.7,26.3,20.2,93,14.4,36,98
2026-07-13,734,Yên Bái,Viet Nam,21.7051,104.8751,34.4,26.8,30.5,0.6,77,8.9,67,54
2026-07-13,149,Quảng Nam,Viet Nam,15.5667,108.4833,37.8,26.7,30.5,4.5,73,20.7,41,94
2026-07-13,981,Quảng Bình,Viet Nam,17.4731,106.5962,33.3,25.8,29.1,6.2,77,17.2,28,84
2026-07-13,249,Phú Yên,Viet Nam,13.0883,109.3045,35.6,28.2,30.8,2.2,57,27.7,23,99
2026-07-13,252,Phú Thọ,Viet Nam,21.3235,105.4011,32.9,27.5,30.5,1.2,79,13.8,89,35
2026-07-13,208,Ninh Thuận,Viet Nam,11.5647,108.9892,35.8,27.0,29.9,0.6,67,31.4,24,82
2026-07-13,707,Bắc Ninh,Viet Nam,21.1861,106.0763,33.4,27.0,30.0,3.0,82,12.2,94,48
2026-07-13,456,Vĩnh Phúc,Viet Nam,21.3089,105.6047,31.9,27.0,29.5,3.6,83,11.5,89,47
2026-07-13,416,Ninh Bình,Viet Nam,20.2506,105.9744,32.5,26.0,28.6,10.9,87,11.4,82,75
2026-07-13,495,Nghệ An,Viet Nam,18.6667,105.6667,31.8,27.1,29.0,5.5,82,9.3,46,79
2026-07-13,160,Nam Định,Viet Nam,20.4231,106.1681,32.4,27.2,29.5,4.6,83,9.6,82,66
2026-07-13,255,Long An,Viet Nam,10.5332,105.4053,29.1,24.5,26.4,11.7,89,19.6,43,96
2026-07-13,108,Lào Cai,Viet Nam,22.4856,103.9707,34.1,26.3,30.5,2.0,74,5.8,41,54
2026-07-13,833,Bến Tre,Viet Nam,10.2424,106.3752,29.9,24.9,26.5,18.5,91,15.8,60,92
